person,cause_of_death,date,year,canine,dept_name,states_death
Police Officer Elmer M. Powers,Vehicular assault,1918-04-25,1918,FALSE,Detroit Police Department,Michigan
Special Agent Kersey E. Gowin,Gunfire,1918-04-28,1918,FALSE,North Dakota Attorney General's Office,North Dakota
Private Andrew W. Czap,Gunfire,1918-04-28,1918,FALSE,Pennsylvania State Police,Pennsylvania
Officer Patrick Devaney,Gunfire,1918-04-29,1918,FALSE,Minot Police Department,North Dakota
"Private Thomas Carlyle ""Carlie"" Hyde",Duty related illness,1918-04-30,1918,FALSE,Texas Rangers,Texas
Patrolman James F. Looney,Gunfire,1918-05-01,1918,FALSE,Chicago Police Department,Illinois
Patrol Officer James Cucia,Gunfire,1918-05-02,1918,FALSE,New Castle Police Department,Pennsylvania
Patrolman John McGuire,Gunfire,1918-05-07,1918,FALSE,Pelham Manor Police Department,New York
Patrolman Michael Y. Sayeg,Gunfire,1918-05-10,1918,FALSE,Kansas City Police Department,Missouri
Deputy Sheriff Joseph E. Donaldson,Gunfire,1918-05-14,1918,FALSE,Pinal County Sheriff's Office,Arizona
Police Officer James Wesley Mock,Gunfire,1918-05-14,1918,FALSE,Marysville Police Department,California
Detective Louis Bomka,Gunfire,1918-05-14,1918,FALSE,Detroit Police Department,Michigan
Deputy Sheriff William Jackson Carnley,Gunfire,1918-05-16,1918,FALSE,Nacogdoches County Sheriff's Office,Texas
Railroad Detective Rodney Goe,Gunfire,1918-05-18,1918,FALSE,Michigan Central Railroad Police Department,NA
Police Officer Andrew M. Lawrence,Vehicular assault,1918-05-19,1918,FALSE,St. Louis Metropolitan Police Department,Missouri
Deputy Sheriff Lawrence H. McParlin,Gunfire,1918-05-21,1918,FALSE,Charles County Sheriff's Office,Maryland
Lieutenant David T. Dunigan,Gunfire,1918-05-21,1918,FALSE,Metropolitan Police Department,District of Columbia
Officer John A. Conrad,Gunfire,1918-05-21,1918,FALSE,Metropolitan Police Department,District of Columbia
Sheriff Mark L. Wildes,Gunfire,1918-05-23,1918,FALSE,Churchill County Sheriff's Office,Nevada
Deputy Sheriff Charles J. Kirkland,Gunfire,1918-05-24,1918,FALSE,Polk County Sheriff's Office,Arkansas
Detective Theodore A. Obitz,Gunfire,1918-05-26,1918,FALSE,New Orleans Police Department,Louisiana
Private John Francis Dargus,Gunfire,1918-05-31,1918,FALSE,Pennsylvania State Police,Pennsylvania
"Sheriff David L. ""Doc"" Anderson",Gunfire,1918-06-04,1918,FALSE,Terrell County Sheriff's Department,Texas
Special Agent James C. Corbin,Gunfire,1918-06-07,1918,FALSE,Louisville and Nashville Railroad Police Department,NA
Constable Samiel J. Hungerford,Gunfire,1918-06-07,1918,FALSE,Cooter Police Department,Missouri
Police Officer August Schwind,Animal related,1918-06-09,1918,FALSE,St. Louis Metropolitan Police Department,Missouri
Patrolman Peter H. Ostiller,Struck by vehicle,1918-06-12,1918,FALSE,Chicago Police Department,Illinois
Chief Deputy James Henry Eubank,Gunfire,1918-06-13,1918,FALSE,Limestone County Sheriff's Department,Alabama
Police Officer J. Carl Goodwin,Gunfire,1918-06-15,1918,FALSE,Bessemer Police Department,Alabama
Chief of Police Jack A. Samuels,Gunfire,1918-06-23,1918,FALSE,Waynesboro Police Department,Georgia
Inspector J. C. Shelhorse,Gunfire,1918-06-25,1918,FALSE,Virginia Department of Prohibition Enforcement,Virginia
Patrolman Joseph A. Nolan,Assault,1918-06-26,1918,FALSE,New York City Police Department,New York
Reserve Officer Michael Brennan,Fall,1918-07-07,1918,FALSE,Boston Police Department,Massachusetts
Officer Lester M. Kidwell,Fall,1918-07-11,1918,FALSE,Metropolitan Police Department,District of Columbia
"Private John Dudley White, Sr.",Gunfire,1918-07-12,1918,FALSE,Texas Rangers,Texas
Police Officer Gordon R. Davis,Gunfire (Accidental),1918-07-15,1918,FALSE,Detroit Police Department,Michigan
Deputy Sheriff James Lowry,Gunfire,1918-07-16,1918,FALSE,Yavapai County Sheriff's Office,Arizona
Police Officer Edward J. Morrison,Duty related illness,1918-07-18,1918,FALSE,Yonkers Police Department,New York
Deputy Sheriff Thalis Tucker Cook,Gunfire,1918-07-21,1918,FALSE,Brewster County Sheriff's Office,Texas
"Deputy Sheriff Andrew Jefferson ""Jeff"" Long",Gunfire,1918-07-25,1918,FALSE,Dickenson County Sheriff's Office,Virginia
Special Agent George R. Stewart,Struck by train,1918-07-27,1918,FALSE,Union Pacific Railroad Police Department,NA
Deputy U.S. Marshal Charles E. Day,Automobile accident,1918-07-28,1918,FALSE,United States Department of Justice - United States Marshals Service,NA
Policeman Thomas J. McVay,Gunfire,1918-07-28,1918,FALSE,Philadelphia Police Department,Pennsylvania
Chief of Police Ralph Emerson Dailey,Gunfire,1918-07-29,1918,FALSE,West Wyoming Borough Police Department,Pennsylvania
Chief of Police Edward Brennan,Gunfire,1918-07-29,1918,FALSE,Wyoming Borough Police Department,Pennsylvania
Patrolman Charles Rajchinetz,Gunfire,1918-08-01,1918,FALSE,East Chicago Police Department,Indiana
Patrol Officer John Callahan,Gunfire,1918-08-06,1918,FALSE,Duluth Police Department,Minnesota
Patrolman Alfred Ressler,Motorcycle accident,1918-08-06,1918,FALSE,Cleveland Police Department,Ohio
Patrolman George A. Lentz,Gunfire,1918-08-06,1918,FALSE,Hamilton Police Department,Ohio
Patrolman Harry Libman,Assault,1918-08-09,1918,FALSE,Rock Island Police Department,Illinois
Constable Bragg Dunbar,Gunfire,1918-08-09,1918,FALSE,Freestone County Constable's Office - Precinct 1,Texas
Deputy Sheriff Franklin Leland Williams,Gunfire,1918-08-11,1918,FALSE,Bibb County Sheriff's Office,Georgia
Chief Walter L. Mull,Gunfire,1918-08-11,1918,FALSE,Dewey Police Department,Oklahoma
Sheriff Palmer Morrison Watts,Gunfire,1918-08-15,1918,FALSE,Tuscaloosa County Sheriff's Department,Alabama
Constable John Henry Willsey,Gunfire,1918-08-15,1918,FALSE,Colerain Township Police Department,Ohio
Deputy Constable Frederick James Smartt,Motorcycle accident,1918-08-16,1918,FALSE,Fresno County Constable's Office - Fresno Judicial District,California
Detective Thomas S. Adubato,Gunfire,1918-08-17,1918,FALSE,Newark Police Department,New Jersey
Private Joe R. Shaw,Gunfire,1918-08-21,1918,FALSE,Texas Rangers,Texas
Deputy Sheriff William Ellis,Gunfire,1918-08-21,1918,FALSE,Mingo County Sheriff's Office,West Virginia
Deputy Sheriff George Dillon,Gunfire,1918-08-21,1918,FALSE,Mingo County Sheriff's Office,West Virginia
Forest Ranger Rudolf Emil Mellenthin,Gunfire,1918-08-23,1918,FALSE,United States Department of Agriculture - Forest Service Law Enforcement and Investigations,NA
Patrolman William Barrett,Animal related,1918-08-26,1918,FALSE,New York City Police Department,New York
Chief of Police William Thomas Tully,Fall,1918-08-27,1918,FALSE,Beaver Falls Police Department,Pennsylvania
Patrolman William Deiters,Gunfire,1918-08-29,1918,FALSE,Cincinnati Police Department,Ohio
Patrolman Theodore Van Zilen,Motorcycle accident,1918-08-30,1918,FALSE,Leonia Police Department,New Jersey
Inspector Fred Tate,Gunfire,1918-08-31,1918,FALSE,United States Department of the Treasury - Customs Service,NA
Rural Police Officer George A. Davis,Gunfire,1918-09-02,1918,FALSE,Marion County Sheriff's Department,South Carolina
Patrolman William R. Mitchell,Gunfire,1918-09-07,1918,FALSE,Chatham County Police Department,Georgia
Patrolman John L. Wilson,Gunfire,1918-09-08,1918,FALSE,Homestead Borough Police Department,Pennsylvania
Acting Chief Patrick Guiton,Gunfire,1918-09-09,1918,FALSE,Boonton Police Department,New Jersey
Policeman Francisco Rodriguez-Dipini,Gunfire,1918-09-11,1918,FALSE,Puerto Rico Police Department,NA
Park Policeman Matthew J. Foley,Motorcycle accident,1918-09-12,1918,FALSE,South Park District Police Department,Illinois
Chief of Detectives John W. Rowan,Gunfire,1918-09-13,1918,FALSE,Colorado Springs Police Department,Colorado
Policeman Luther McMahill,Gunfire,1918-09-14,1918,FALSE,Denver Police Department,Colorado
Game Warden Elijah Roberts,Gunfire,1918-09-14,1918,FALSE,Kentucky Department of Fish and Wildlife Resources,Kentucky
Private Leonard Tillman Sadler,Gunfire (Accidental),1918-09-16,1918,FALSE,Texas Rangers,Texas
Patrolman George Franklin Drake,Vehicular assault,1918-09-22,1918,FALSE,El Paso Police Department,Texas
Patrolman John Friel,Gunfire,1918-09-24,1918,FALSE,Nashville City Police Department,Tennessee
Special Officer John J. Ellis,Gunfire,1918-09-26,1918,FALSE,Pennsylvania Railroad Police Department,NA
Chief of Police John Moody Dooley,Gunfire,1918-09-27,1918,FALSE,Boaz Police Department,Alabama
Patrolman Bernard Murray,Gunfire,1918-10-02,1918,FALSE,Hoboken Police Department,New Jersey
Patrolman Franklin P. Carr,Gunfire,1918-10-05,1918,FALSE,Peoria Police Department,Illinois
Constable Robert Andrew Carter,Gunfire,1918-10-06,1918,FALSE,Tulare Police Department,California
Patrolman William Gudehus,Gunfire,1918-10-10,1918,FALSE,Hoboken Police Department,New Jersey
Patrolman Irving B. Harding,Motorcycle accident,1918-10-11,1918,FALSE,Metropolitan Police Department,Massachusetts
Sergeant Delbert Timberlake,Gunfire,1918-10-11,1918,FALSE,Texas Rangers,Texas
Private Ben L. Pennington,Duty related illness,1918-10-12,1918,FALSE,Texas Rangers,Texas
Patrolman Dixon Allen Sasser,Gunfire,1918-10-13,1918,FALSE,Harlan Police Department,Kentucky
Patrolman William Sparta,Assault,1918-10-13,1918,FALSE,Lyndhurst Police Department,New Jersey
Assistant Chief of Police Anthony Maslowski,Duty related illness,1918-10-13,1918,FALSE,Exeter Borough Police Department,Pennsylvania
Patrol Officer J. C. Sherrod,Gunfire,1918-10-14,1918,FALSE,Pocatello Police Department,Idaho
Detention Deputy William Wesley Green,Gunfire,1918-10-15,1918,FALSE,Pueblo County Sheriff's Office,Colorado
Chief of Police George Dworski,Duty related illness,1918-10-15,1918,FALSE,Exeter Borough Police Department,Pennsylvania
Private Robert Ernest Hunt,Duty related illness,1918-10-15,1918,FALSE,Texas Rangers,Texas
Police Officer Robert J. Paton,Gunfire,1918-10-16,1918,FALSE,Elizabeth Police Department,New Jersey
Patrolman Joseph John Jurcak,Struck by train,1918-10-16,1918,FALSE,Erie Police Department,Pennsylvania
Patrolman George H. Phillips,Gunfire,1918-10-19,1918,FALSE,Shreveport Police Department,Louisiana
Patrolman Walter B. Holcomb,Duty related illness,1918-10-21,1918,FALSE,San Diego Police Department,California
Patrolman Charles Tilden Crooker,Duty related illness,1918-10-21,1918,FALSE,Quincy Police Department,Massachusetts
City Marshal Fred Rogers,Gunfire,1918-10-21,1918,FALSE,Portageville Police Department,Missouri
Deputy U.S. Marshal John Kavanaugh,Duty related illness,1918-10-21,1918,FALSE,United States Department of Justice - United States Marshals Service,NA
Captain John J. Hiney,Automobile accident,1918-10-22,1918,FALSE,Elizabeth Police Department,New Jersey
Patrolman Phillip Droesch,Gunfire,1918-10-25,1918,FALSE,Lima Police Department,Ohio
Detective Alfred Olin,Gunfire,1918-10-29,1918,FALSE,Aurora Police Department,Illinois
Officer Preston Pullen,Gunfire,1918-10-30,1918,FALSE,Lexington Police Department,Kentucky
Patrol Officer Melvin W. Kepford,Struck by vehicle,1918-10-30,1918,FALSE,Harrisburg Police Bureau,Pennsylvania
Officer Ashville T. Williamson,Gunfire,1918-10-31,1918,FALSE,Norfolk Police Department,Virginia
Patrolman John E. Durkin,Automobile accident,1918-11-02,1918,FALSE,New Haven Police Department,Connecticut
Police Officer James Ivan Broughton,Vehicle pursuit,1918-11-03,1918,FALSE,Middletown Police Department,New York
Special Policeman Panfilo Di Rossi,Gunfire,1918-11-05,1918,FALSE,"Chicago, Terre Haute and Southeastern Railroad Police Department",NA
"Private T. E. P. ""Ellzey"" Perkins",Assault,1918-11-07,1918,FALSE,Texas Rangers,Texas
Policeman Antonio Renaud-Goytia,Stabbed,1918-11-12,1918,FALSE,Puerto Rico Police Department,NA
Deputy U.S. Marshal J. Ben Wilson,Gunfire,1918-11-14,1918,FALSE,United States Department of Justice - United States Marshals Service,NA
Patrolman Thomas Gilbert,Struck by vehicle,1918-11-18,1918,FALSE,New York City Police Department,New York
Detective John Harms,Struck by train,1918-11-18,1918,FALSE,Racine Police Department,Wisconsin
Deputy Sheriff George W. Van Vliet,Gunfire,1918-11-19,1918,FALSE,Los Angeles County Sheriff's Department,California
Deputy Sheriff Frank Walter Twombley,Gunfire,1918-11-19,1918,FALSE,Multnomah County Sheriff's Office,Oregon
Constable Daniel McKinnon,Gunfire,1918-11-22,1918,FALSE,Dixon Police Department,California
Town Sergeant James A. Taylor,Gunfire,1918-11-29,1918,FALSE,Cape Charles Police Department,Virginia
"Plainclothesman Alexander Vought, Jr.",Gunfire,1918-11-30,1918,FALSE,Monessen City Police Department,Pennsylvania
Chief of Police William E. Brinkley,Gunfire,1918-12-02,1918,FALSE,Suffolk Police Department,Virginia
Private John August Moran,Duty related illness,1918-12-12,1918,FALSE,Texas Rangers,Texas
Chief of Police Charles Chester Jackson,Gunfire,1918-12-16,1918,FALSE,Des Moines Police Department,Iowa
Patrolman Frank Mansfield,Automobile accident,1918-12-16,1918,FALSE,Kansas City Police Department,Missouri
Mounted Patrolman Richard Ell,Gunfire,1918-12-16,1918,FALSE,Cincinnati Police Department,Ohio
Detective Patrick Gaffney,Gunfire,1918-12-19,1918,FALSE,East Cleveland Police Department,Ohio
Marshal Elease J. Picard,Gunfire,1918-12-26,1918,FALSE,Sulphur Police Department,Louisiana
Sergeant Michael F. Brophy,Struck by streetcar,1918-12-27,1918,FALSE,Utica Police Department,New York
Sheriff Jake Wiggers,Gunfire,1918-12-30,1918,FALSE,Rock Island County Sheriff's Department,Illinois
Policeman Jose R. Martinez,Gunfire,1919-01-01,1919,FALSE,Puerto Rico Police Department,NA
Detective Robert Roy Aldridge,Gunfire,1919-01-11,1919,FALSE,East St. Louis Police Department,Illinois
Sheriff Clifford David Barber,Gunfire,1919-01-19,1919,FALSE,Jackson County Sheriff's Office,Georgia
Deputy U.S. Marshal Ben Franklin Dixon,Gunfire,1919-01-20,1919,FALSE,United States Department of Justice - United States Marshals Service,NA
Custody Officer Virgil L. Orem,Assault,1919-01-21,1919,FALSE,Indiana Department of Correction,Indiana
Sheriff Albert F. Ross,Assault,1919-01-23,1919,FALSE,Shasta County Sheriff's Department,California
Detective Matthew A. Dorley,Gunfire,1919-01-23,1919,FALSE,Terre Haute Police Department,Indiana
Patrolman Robert Latta,Gunfire,1919-01-24,1919,FALSE,Camden Police Department,South Carolina
Town Constable John Stough Stroup,Gunfire,1919-01-26,1919,FALSE,Four Oaks Police Department,North Carolina
Patrolman John F. Schuetz,Gunfire,1919-01-27,1919,FALSE,Chicago Police Department,Illinois
Policeman John J. Knox,Gunfire,1919-01-27,1919,FALSE,Philadelphia Police Department,Pennsylvania
Policeman George Dingwall,Gunfire,1919-01-27,1919,FALSE,Philadelphia Police Department,Pennsylvania
Constable William F. Madden,Gunfire,1919-01-30,1919,FALSE,Manchester Police Department,Connecticut
Chief of Police Charles H. Bishop,Gunfire,1919-01-31,1919,FALSE,Connellsville City Police Department,Pennsylvania
Detective Sergeant James L. Hosna,Gunfire,1919-02-06,1919,FALSE,Chicago Police Department,Illinois
"Officer James A. ""Bert"" Weare",Gunfire,1919-02-07,1919,FALSE,Minneapolis Police Department,Minnesota
Patrolman James M. Lawrence,Stabbed,1919-02-07,1919,FALSE,Kingston Police Department,New York
Patrolman David Luther Jenkins,Gunfire,1919-02-08,1919,FALSE,Columbus Division of Police,Ohio
Chief of Police J. E. B. Phillips,Gunfire,1919-02-11,1919,FALSE,Grafton Police Department,West Virginia
Deputy U.S. Marshal Clyde D. Calhoun,Gunfire,1919-02-12,1919,FALSE,United States Department of Justice - United States Marshals Service,NA
Patrolman Charles E. Deininger,Gunfire,1919-02-13,1919,FALSE,Boston Police Department,Massachusetts
Watchman Edward Bell,Gunfire,1919-02-13,1919,FALSE,Missouri Pacific Railroad Police Department,NA
Private Walker W. Campbell,Gunfire,1919-02-16,1919,FALSE,Alexandria Police Department,Virginia
Policeman P. J. Downey,Gunfire,1919-02-18,1919,FALSE,Los Angeles Police Department,California
Inspector William E. Payne,Gunfire,1919-02-21,1919,FALSE,Virginia Department of Prohibition Enforcement,Virginia
Police Officer William F. Hayes,Gunfire,1919-02-23,1919,FALSE,St. Louis Metropolitan Police Department,Missouri
Deputy Sheriff George A. Bills,Gunfire,1919-02-25,1919,FALSE,Palmer Police Department,Massachusetts
Chief of Police Beldon Napoleon Little,Gunfire,1919-02-26,1919,FALSE,Fort Payne Police Department,Alabama
Deputy Sheriff George Arnold Scott,Gunfire,1919-02-26,1919,FALSE,DeKalb County Sheriff's Office,Alabama
Police Officer James Lynch,Gunfire,1919-02-26,1919,FALSE,Rahway Police Department,New Jersey
Police Officer Jacob Kraus,Gunfire,1919-02-26,1919,FALSE,Rahway Police Department,New Jersey
"Sheriff John M. Harlow, Jr.",Gunfire,1919-03-03,1919,FALSE,Barton County Sheriff's Department,Missouri
Deputy U.S. Marshal John Haven,Automobile accident,1919-03-04,1919,FALSE,United States Department of Justice - United States Marshals Service,NA
Patrolman Patrick F. Cannon,Fall,1919-03-05,1919,FALSE,New Haven Police Department,Connecticut
Town Sergeant George Washington Nuckolls,Gunfire,1919-03-08,1919,FALSE,Coeburn Police Department,Virginia
Patrolman William Armstrong,Gunfire,1919-03-09,1919,FALSE,Cleveland Police Department,Ohio
Officer George Werne,Gunfire,1919-03-09,1919,FALSE,Akron Police Department,Ohio
Policeman Charles Danowitz,Gunfire,1919-03-09,1919,FALSE,Philadelphia Police Department,Pennsylvania
Patrolman James Joseph Hanley,Vehicle pursuit,1919-03-11,1919,FALSE,McKees Rocks Borough Police Department,Pennsylvania
Policeman Walter S. Gideon,Gunfire,1919-03-13,1919,FALSE,Philadelphia Police Department,Pennsylvania
Policeman James J. Hess,Gunfire,1919-03-14,1919,FALSE,Philadelphia Police Department,Pennsylvania
Officer John Wesley Webb,Gunfire,1919-03-16,1919,FALSE,DeKalb County Police Department,Georgia
Special Agent Charles A. Kieper,Gunfire,1919-03-17,1919,FALSE,"Atchison, Topeka and Santa Fe Railroad Police Department",NA
Patrolman James Upton,Gunfire,1919-03-19,1919,FALSE,Rochester Police Department,New York
Deputy Sheriff Harry Guard,Automobile accident,1919-03-20,1919,FALSE,Los Angeles County Sheriff's Department,California
Deputy Sheriff Emma Benson,Automobile accident,1919-03-20,1919,FALSE,Los Angeles County Sheriff's Department,California
Deputy Keeper Bruce Linwood Drummond,Duty related illness,1919-03-20,1919,FALSE,New Jersey Department of Corrections,New Jersey
